1date,2title,3link,4content,5comment,6commentNum,7hitNum
2016.11.25. 00:52,예비 고3 과탐 커리..ㅠㅠ,https://cafe.naver.com/ArticleRead.nhn?clubid=10197921&page=1&menuid=2033&inCafeSearch=true&searchBy=0&query=%BC%F6%B4%C9%C6%AF%B0%AD+%C8%AD%C7%D0&includeAll=&exclude=&include=&exact=&searchdate=2016-01-012016-12-31&media=0&sortBy=date&articleid=17603224&referrerAllArticles=false,안녕하세요.. 예비 고3인데요.. 이제 저의 차례가 와서 많이 혼란스럽네요.국영수는 모의고사 등급도 제대로 나오고 과외랑 학원을 다니고 있기 때문에 개인적인 커리큘럼을 생각해두지 않았는데요과탐이 너무 걸리네요... 일단 화학1 생명과학1으로 생각해뒀는데 저희 학교는 물화생을 1학년떄 다 배워가지고 개념이 상당히 흔들리네요 배운지 1년이 넘어서 그런지... 화학은 노베이스와 다름 없고요 생명과학은 개념 한번 훑어보면 2학년 모의고사 정도는 다 풀수 있는상태에요. 유전도 저한테는 별 지장 없고요. 메가스터디 프리패스를 끊어둔 상태라서 인강으로 해볼 생각인데요.화학은 고석용이라는 분 꺼를 들을려고하고요. 생명과학은 올해 1년동안 생명과학2 인강 들었던 박지향이라는 분이랑 이번에 새로 영입하신 뉴페이스분 강의를 고려중인데요. 프리패스가 있다보니깐 골고루 들어도 괜찮겠다 싶거든요.근데 제가 고민중인거는... 기말고사가 끝나자마자 바로 과탐 돌릴건데 2월까지 화생 개념을 끝내려거든요. 인강 선생님들의 1년 커리를 타려면 12월 중순에 개강되는 강의를 따라가면 될거 같긴 한데요.. 드라마 기다리는 것처럼 강의 올라오는거 기다리는걸 제가 잘 못할거같거든요.. ㅠㅠ 올라올떄 마다 들으면 제가 생각중인 2월 안에 끝내는것도 어려울거같고요.. 그래서 기본 개념강의를 작년꺼로 들어도 무난할지 궁금하네요. 그리고 개념강의를 사설로 들으면 수능특강은 어떻게 활용하는게 좋을까요??요약)새로운 개강되는 강의를 기다리지 말고 그냥 올해에 나온걸로 후딱 듣고 3월부터 커리 따라가도 괜찮을까요수능특강은 어떻게활용할까요 (문제풀이만 듣는거 생각중입니다.),"생명과학은 모의고사 시간재서푸는연습 많이 하세요. 유전 5문제를 제외한 나머지를 15분안에 풀어야돼요. 안그럼 시간부족함; 저는 수능특강 완성 한번씩풀고, 수능보기 2주전 쯤 한 번 더 풀었어요. 아 그리고 유전 제일 어려운 문제 하나쯤은 틀려도 1등급 나옵니다. 물론 다른모든문제를 맞춘다는 전제하에. 저는 EBS개념강의듣고 개념잡았었어요 여한종쌤 개념책사서 하루에 1강씩들었어요ㅋㅋㅋ EBS들어가셔서 좋아하는 쌤강의들으세요ㅎㅎ 제 친구는 변춘수쌤꺼 듣더라구요 화학은 선택과목이아니라 잘모르겠네요! 화이띵 제가 유전을 자신없어하는건 아니라서여 ㅋㅋ 이미 내신때 제대로해둿고 시간단축이랑 가물가물해진것때매 그래요,,,ㅠㅠ 근데 수특같은거 1월에 출시되는거 강의 기다리면서 수강하면 완강이 언제쯤 되나요?? 너무 늦는거 같아서 전년도꺼로 1월까지 수특 돌리는거 괜찮을까요?? 18년도꺼는 학기 들어가서 풀고요 수시면 학기중엔 내신 공부 하느라 바쁠겁니다.  그리고 제가볼땐 전년도 강의랑 곧 나올 강의는 별로 차이 없을 꺼 같아요 ~ 내신 사실상 포기상태에요 수시를 본다해도 논술 생각중이거든요.. 작년꺼로 시작해도 괜찮겠죠? 인강 말씀하시는거세요??  인강은 별 차이 없을거에요! 저는 생명 작년 2학년때 공부했던 걸로 공부했거든요!",0,418
2016.11.17. 22:22,이번에 뼈저리게 느낀 팩트,https://cafe.naver.com/ArticleRead.nhn?clubid=10197921&page=1&menuid=2033&inCafeSearch=true&searchBy=0&query=%BC%F6%B4%C9%C6%AF%B0%AD+%C8%AD%C7%D0&includeAll=&exclude=&include=&exact=&searchdate=2016-01-012016-12-31&media=0&sortBy=date&articleid=17554455&referrerAllArticles=false,                  수능 7일전부터 수능날 볼 오답만들고 컨디션관리한다고 공부 놓는사람들도 있던데 수능 2일전에 수능특강 처음풀어본 화학 2등급나오고 원래 40점후반이라고 안보던 물리 3등급 끄트머리 정의구현  여러분 수능 전날 보는게 성적입니다 그래요 하 인생         ================================,응 아 진짜 치면서 느낀거..인생은 실전이다ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0,432
2016.09.01. 21:54,지금까지 모의고사 총합,https://cafe.naver.com/ArticleRead.nhn?clubid=10197921&page=1&menuid=2033&inCafeSearch=true&searchBy=0&query=%BC%F6%B4%C9%C6%AF%B0%AD+%C8%AD%C7%D0&includeAll=&exclude=&include=&exact=&searchdate=2016-01-012016-12-31&media=0&sortBy=date&articleid=17237791&referrerAllArticles=false,"                               ================================  국어 69 수학 64 영어 52 한국사 27 화학 39 생명 17 (445425) (겨울방학 때 부터 본격적인 공부를 시작함. 고2 때는 모의고사는 찍고 자는시간이었기에 예상등급은 평균 6-7 예상 지금 생각하면 그렇게 뒤지도록 열심히 한건아닌데 그당시 내가할수있는 최대그이상의 공부를함. 3월등급으로 치면 절대 잘봤다 라고 볼수없지만 내입장에선 많이 올렸다고 생각했음 특히 수학 2점도못풀던내가 64점 맞았을땐 많이 기뻤음)   4월 모의고사  국어 75 수학 77 영어 43 한국사 13 화학 44 생명 24 (446624)  (여전히 열심히 공부했음. 하지만 영어 실력은 늘생각을 하지않음. 영어때문에 한번 좌절했으나 그래도 다른과목들은 다올림)  6월 모의고사  국어 65 수학 88 영어 52 한국사 27 화학 31 생명 38 (536442) (열심히 했으나 수학 생명을 제외하곤 처참한 결과들. 그렇게 자신있던 화학이 터졌고 국어영어는 말할것도 없었음. 국어 영어에 엄청난 스트레스를 받았고, 결국 슬럼프가 오는계기가됨)  7월 모의고사 국어 77 수학 75 영어 59 한국사 21 화학 29 생명 23 (545534) (6-7월은 슬럼프 구간이었음 공부를 하긴했으나 제대로 하진 못한기분. 물론 과탐들 난이도가 높긴 했으나 과탐은 과탐 대로 못봤고 국영수는 국영수대로 침체되었음.)  이후 여름방학    국어는 마닳을 꾸준히 풀다보니 약간 감이라는게 생기는 계기가 됨. 확실히 국어실력이 늘은기분 수학은 그동안 정말 열심히 달려왔기에 다른과목을위해 조금 제쳐둠 하루 2-3시간만 꾸준히 현우진 드릴 풀고 인강 들었음 영어는 이대로는 안되겠다 싶어서 기존영어인강쌤을 과감히 버리고 이명학으로 갈아탐(정말 좋은선택이었던거 같음. 실력면도 실력면이지만 영어에 흥미를 가지게해줬음) 화학은 고석용 실전문제풀이 하다보니 방학 끝나있었음 좋은 강의였음 생명은 조금 흐지부진하게 공부했으나 할떄만큼은 열심히했음 복습+유전특강+기출문풀 한국사는 이다지 쌤 강의듣고 간간히 복습했던거 같음. 다른과목 하느라 많이하지는 못함               여름방학은 진짜 열심히 공부했던거같음.   이후 여름방학이 끝나고 9모까지 정말 미친듯이 공부했음  7시에 일어나 학교가자마자 씹빡공 + 학교 5시에 끝나자마자 편의점에서 커피사고 마시면서 바로 집에와서 6시까지 씻고 밥먹은후 새벽 2시까지 열공. 그후 씻고 3시쯤에 잠듬  9월 모의고사 국어 72 수학 96 영어 75 한국사 37 화학 38 생명 34  (414233) (7월에 비해 국어는 점수가 떨어졌지만 난이도상 더 높은등급을 맞을 확률이 더높음 4등급정도. 내원래 국어실력과 난이도에 비해서 나쁘진 않다고 생각함 물론 많이아쉬움 3등급도 노려볼수있었는데.  수학은 예상하지 못했음. 원래 수학은 요즘 다른과목들 에비해 2순위로 공부했었는데 1등급이 나올줄은 몰랐음. 3등급정도 기대하고있었는데 너무기쁨 ㅜㅜㅜ 하지만 내실력이라고 생각안함 더열심히 해야겠다고 생각함 찍은게 맞아서..  영어는 진짜 이명학으로 갈아탄게 신의한수라고 생각함. 영어 강의가 엄청나다! 라기보단 영어에대한 마인드가 바뀌는 계기. 게다가 영어듣기는 7개 틀리던걸 1개틀리게됨.  영어듣기 실력도 많이올른기분 과탐은 좀 아쉽지만 그래도 만족함. 생명 풀때는 쉬워서 다풀었을때 40점은 넘을거같았는데 지엽적인 부분에서 많이틀렸나봄.. 화학도 신유형떄문에 좀 헷갈려서 그런지 40점 못넘긴게 아쉽. 그래도 7월에 비해 많이올려서 나름대로 만족)    겨울방학부터 9월까지 정말 열심히 했고 수능까지도 더열심히 할거임. 진짜 많이올렸고 내정시 선택이 틀리지 않았다는걸 모두에게 증명해주고싶음. 사실 농어촌정시라 수능때 이정도만 나와도 좋은대학갈수 있지만 수능때는 변수가 많기때문에 이것보다 더 나은 점수받으려고 노력할거임 다른건몰라도 영어공포증 극복해서 기쁨 ㅜㅜㅜ 영어도 하면 된다는걸 느꼈다 ㅜㅜㅜㅜ                                ================================     ",5등급 고2인데 이명학 이 등급으로도 들을수 이ㅆ나여ㅠㅠ 농어촌 정시 9월 성적정도면 어디 노려볼 수 있나요?!,0,531
2016.08.31. 21:39,화학 고석용 인강,https://cafe.naver.com/ArticleRead.nhn?clubid=10197921&page=1&menuid=2033&inCafeSearch=true&searchBy=0&query=%BC%F6%B4%C9%C6%AF%B0%AD+%C8%AD%C7%D0&includeAll=&exclude=&include=&exact=&searchdate=2016-01-012016-12-31&media=0&sortBy=date&articleid=17232460&referrerAllArticles=false,                수능 78일 남은 시점에서 고석용선생님의 킬러문항특강 들어도 될까요?  듣는다면 양적반응만 들을것 같은데 시간이 얼마 없어서 고민이네요            ================================,,0,144
2016.07.21. 17:25,과탐 공부 이렇게 해도 될까???,https://cafe.naver.com/ArticleRead.nhn?clubid=10197921&page=1&menuid=2033&inCafeSearch=true&searchBy=0&query=%BC%F6%B4%C9%C6%AF%B0%AD+%C8%AD%C7%D0&includeAll=&exclude=&include=&exact=&searchdate=2016-01-012016-12-31&media=0&sortBy=date&articleid=17140897&referrerAllArticles=false,과목은 물리1 화학1이고 2학년때는 내신공부로만 했고 모의고사2.5등급 나왔어 2학년 겨울방학때는 정원재 박상현 들었어 근데 3학년 시작하면서 눈 앞에 내신이 너무 급하다보니까 국어 영어 과학 다 멈추고 내신만 해서 내신은  상승했는데 국어 영어 감 조금씩 떨어지고 과탐은 모의고사 4등급 5등급 뜨더라고 그래서 지금부터 다시 잡으려는데 수능특강 수능완성 독학할까 아니면 박상현 정원재 듣고 인강 진도 따라서 수능특강 수능완성 풀까??? 그리고 인강을 들으면 개념강의 혹은 문제풀이???                           ================================,,0,172
2016.07.17. 22:51,박상현쌤 쌩기초탈출 들으려는데 책 이렇게 주문하면 되나요?,https://cafe.naver.com/ArticleRead.nhn?clubid=10197921&page=1&menuid=2033&inCafeSearch=true&searchBy=0&query=%BC%F6%B4%C9%C6%AF%B0%AD+%C8%AD%C7%D0&includeAll=&exclude=&include=&exact=&searchdate=2016-01-012016-12-31&media=0&sortBy=date&articleid=17133306&referrerAllArticles=false,          [화학I] 2017 박상현의 정촉매 개념완성 [화학I] 박상현의 2017 EBS 수능특강/수능완성 분석 특강  [박상현 GA6253] [화학I] 정촉매 개념완성 (4종 세트) [무료특강] 2017 박상현의 대치동 학생들도 모르는 화학 쌩기초 탈출 [박상현 GA6329] 2017 쌩기초탈출 교안 브로셔                    ================================,헉 그냥 있는거 복붙해서 올렸어요 ㅈㅅ쌩기초부터 듣고 정촉매 들으려고요 ㅇㅎ...ㄳㄳ,0,202
2016.07.07. 21:07,"화학포기로화학싸게팔음 박상현 만점완성, 박상현모의고사, 수능완성, 전홍철수능특겅영어",https://cafe.naver.com/ArticleRead.nhn?clubid=10197921&page=1&menuid=2033&inCafeSearch=true&searchBy=0&query=%BC%F6%B4%C9%C6%AF%B0%AD+%C8%AD%C7%D0&includeAll=&exclude=&include=&exact=&searchdate=2016-01-012016-12-31&media=0&sortBy=date&articleid=17112078&referrerAllArticles=false,박상현모의고사 3.4월 제본+ 원래시험지 두 버전있음 한장당3000원씩6월변형모의고사박상현만점완성 깔끔필기 문제는거의손안대고 끝까지 필기10000 원박상현2016 개념완성(2015년강의)책쌔거 15000 내용은같음 기출3배속정리 1 .2단원만풀음마더텅 화학검정색2 단원까지만풀음13000수능완성 연구용(답안적혀있음쌔거) 4000수능완성 일반(개인구매) 1단원만풀음 4000전홍철 수능특강영어8000원,만점완성이랑 기출문제 얼마인가요??박상현이요~ 만점완성10000 원 기출문제15000 안대 둘다사시면 모의고사 무료로드릴깨요!둘다요! 만점완성10000 원 기출문제15000 안대 둘다사시면 모의고사 무료로드릴깨요!둘다요! 아...그 택배비 포함해서인가요??혹시 직거래도 되시는지...그리고 만점완성은 그..두궘다잇나요?? 아뇨 ㅠㅠ 택포하면손해 커서 만점완성 두권있고 문제편은 13주차중 4주차만풀엇어요! 아항.. ㅠㅠ직거래는 안되시너용?? 직거래가능한데전북에살아서요! 3000원만추가해주시면 ㅠㅠㅠ아마4500정도나올꺼같은뎁 ㅠㅠ!! 사시면개념완성소책자랑도무료로보내드릴께요흑흑 저 만점완성이요 만점완성 예약이 잇어서 ㅠ추ㅣ소되면말씀드릴께뇨,0,226
2016.07.07. 16:57,화학포기했는데 문제집살사람 박상현꺼랑등등 전홍철수능특강영어,https://cafe.naver.com/ArticleRead.nhn?clubid=10197921&page=1&menuid=2033&inCafeSearch=true&searchBy=0&query=%BC%F6%B4%C9%C6%AF%B0%AD+%C8%AD%C7%D0&includeAll=&exclude=&include=&exact=&searchdate=2016-01-012016-12-31&media=0&sortBy=date&articleid=17111572&referrerAllArticles=false,박상현모의고사 3.4월 제본+ 원래시험지 두 버전있음 한장당3000원씩6월변형모의고사박상현만점완성 깔끔필기 문제는거의손안대고 끝까지 필기10000 원박상현2016 개념완성(2015년강의)책쌔거 15000 내용은같음 기출3배속정리 1 .2단원만풀음마더텅 화학검정색2 단원까지만풀음13000수능완성 연구용(답안적혀있음쌔거) 4000수능완성 일반(개인구매) 1단원만풀음 4000전홍철 수능특강영어8000원,네네즉각반응이요!!  필기다해놨지만 그냥싸게가져가시는걸로하세요! 사시면 그 5000원짜리 화학개념소책자도드려요! 오비탈인쇄도해놧습 니다! 문제풀이는 연필로했구요 채점만 볼펜으로했습니다! 제가지금집이라서독서실가서보여드릴께요!! 저  사진ㄴ은보여드릴수있는데 밑에분이사신다고해서ㅠㅠ  근데 2단원까지맘되어잇고ㅗ 3단원부터 아예문제풀이손안댓어요! 근데 2단원까지맘되어잇고ㅗ 3단원부터 아예문제풀이손안댓어요! 그화학식량과몰부터요! 택배거래이구 계좌이체해주셔야되요! 만점완성 바로살게여 연락처주세요! 01076471299 문자주세여 박상현 모의고사 4월호 구매가능한가요? 넵 3월호 6월모의고사 변형도있어요ㅡ 3개에 등포만원드릴께뇨 3월호랑 6월 변형모의고사는 있고 4월호만 필요해서요 4월호만 살 순 없나요? 택배비가 좀있어서... ㅠㅠ 등기로 보내드려두 2500원은나와서 얼마전도에 사시기 원하세요? 저도 가격이 잘 감이 안오는데.. 등기비포함 5000원 정도면 될까요?,0,193
2016.06.25. 00:44,"여러가지 인강책, 문제집, 참고서 싸게 판매합니다!!!입시자료집도!!!",https://cafe.naver.com/ArticleRead.nhn?clubid=10197921&page=1&menuid=2033&inCafeSearch=true&searchBy=0&query=%BC%F6%B4%C9%C6%AF%B0%AD+%C8%AD%C7%D0&includeAll=&exclude=&include=&exact=&searchdate=2016-01-012016-12-31&media=0&sortBy=date&articleid=17087459&referrerAllArticles=false,                           올해수능 ebs분석노트개당 3천원  이투스 황현필 한국사인강교재개당 4천원  한석원 기벡 알파테크닉 2016정가 17000원 판매가 1만원  한종철의 생명과학 참고집6천원  스카이에듀 차영진 실전칼개념기하와벡터1만원  정훈구의 스피드개념완성 201718000원 아직안늦어요  수능특강 지문모음 제본집7천원  메가스터디 각종 합격팁 모음모든전형4천원  이지영의 수능단기점수올리는법5천원 강추함  이창무의 기출플래너매일매일 한문제씩잇고대성에 해설강의잇어요개당5천원 1년용  천재교육 문학교과서개당 6천원  천재교육 화학1개당4천원  스카이에듀 김수환의syntax6강까지 필기되잇습니다정가 22000원판매가 12000원  스카이에듀 라인플래너 도 판매합니다 파란오리!!개당 8천원입니다쿨거래시 네고 가능합니다택배는 착불입니다댓글이나 쪽지주세요     ================================,알텍 기벡책 새거에요? 네내새거예요 상은 없는거죠? 네.... 사실껀가요 저플래너도판매하고잇어요 생질 하고잇는거 다끝내고 연락 드리겟습니다 먼저사시죠 나중이면 팔릴지도입시책도드려요 낼바로보내드리닌께요 차영진 실칼 팔렷나요?안팔렷으면 사고 싶어요 안팔렷습니다ㅎㅎ 쪽지로 톡디알려주세요 사실껀가요 알파테크닉 팔렷나여,0,334
2016.06.12. 23:58,화2화학2 내신러들을 위한 유형 분석 자료(자발성 파트) +++ 엔탈피 문제에서 틀릴(실수할) 수 있는 20가지 방법,https://cafe.naver.com/ArticleRead.nhn?clubid=10197921&page=1&menuid=2033&inCafeSearch=true&searchBy=0&query=%BC%F6%B4%C9%C6%AF%B0%AD+%C8%AD%C7%D0&includeAll=&exclude=&include=&exact=&searchdate=2016-01-012016-12-31&media=0&sortBy=date&articleid=17067710&referrerAllArticles=false,"안녕하세요. 입시에 굉장히 관심이 많은 태담(고3)이라고 합니다.현재 저는 물1 화2를 선택한 자연계 학생으로, 대학 진학 이후에 이 두 과목에 대한 교재를 집필하고자 하는 희망을 가지고 있습니다.(오르비언 인증ㅇㅇ) 그러던 중에, 저희 학교 친구들이 화2 내신 대비를 부담스럽고, 귀찮고, 실제로 화학2는 투과목이고 그 중에서도 비인기 과목이다 보니 유형을 정리해 놓은 책들이 많이 없어 힘들어 하는 모습을 보게 되었습니다. 그래서 저희 학교 시험범위인 반응의 자발성(수능특강 화2 4강)에 해당하는 문제들의 유형(11p)<화타> 분석집을 만들게 되었습니다.(사실 자율동아리 활동임.) 사실 반응의 자발성 부분은 초반에 개념이 생소하여 손 대기를 꺼려하지만, 실제로 마주해보면 화학2 전 단원(물론 5단원 제외) 중에 가장 쉬운 부분이라는 것을 깨달을 수 있습니다. 그래서, 제 주변 친구들뿐만 아니라 다른 고3, 고2 내신 준비하시는 분들도 이 부분이 어려울 것이라는 선입견을 버리고 조금 더 쉽게 다가갈 수 있도록 이 유형집을 공유하고자 합니다. 제가 만든 이 유형 분석집은 보시면 눈치채실 분도 계시겠지만, 현우진T의 드릴에서 영감을 얻어서 만든 교재입니다. 유형마다 대표 문제들을 하나씩 놓고, 그에 대한 해설(Comment)를 달아 놓았습니다. 또, 많은 분들이 수능특강으로 공부하실 것 같아, 관련 문항 번호도 적어놓았습니다.(Reference) 사실 다같이 쓰면 좋지 하는 마음도 있지만, 제가 만든 분석집에 어떤 반응을 보이실 지 궁금해서 공유하는 부분도 있습니다. 받아가시게 되면 받아가셨다는 댓글 남겨주시면 정말 좋을 것 같습니다.^^ (잘 썼다는 말은 더 좋을 듯해요~)추가적으로 제가 만든 또 다른 교재, 엔탈피 실수집, ""네가 엔탈피 문제에서 실수할 수 있는 20가지 방법들"" 또한 공유하니, 많은 관심 부탁드립니다.제작 태담(강태헌)검토 강민재----------------------------------------------------------------------[필독] 전체 게시판 높임말, 고운말 사용[필독] 대학 문의, 입시 관련글은 각 입시 자유게시판에 올려주세요.[필독] 사적 모임 모집 금지[필독] 비매너회원과 다투지 마시고, 게시판 중 가장 첫번째에 있는 '신고게시판'에 올려주시면 강퇴처리해 드립니다.","오류 있거나, 질문 사항 있으시면 댓글 달아주세요~ 감사합니다^^ 받아갑니다 감사해용~ 화2 내신준비하면서 이단원 문제가 정말 필요했는데잘 사용하겠습니다!! 정말 감사합니다!! 감사합니당^^ 감사합니다!!!! 감사합니다. 감사합니다",0,550
